LAT,LON,TIME,WIND,PR,STAT
4.90,138.00,05/09/00Z,15,-,TROPICAL DEPRESSION
4.90,137.70,05/09/06Z,15,-,TROPICAL DEPRESSION
5.00,137.30,05/09/12Z,15,-,TROPICAL DEPRESSION
5.00,136.90,05/09/18Z,15,-,TROPICAL DEPRESSION
5.00,136.50,05/10/00Z,15,-,TROPICAL DEPRESSION
5.10,136.00,05/10/06Z,15,-,TROPICAL DEPRESSION
5.20,135.50,05/10/12Z,15,-,TROPICAL DEPRESSION
5.20,135.00,05/10/18Z,15,-,TROPICAL DEPRESSION
5.30,134.50,05/11/00Z,15,-,TROPICAL DEPRESSION
5.40,133.90,05/11/06Z,15,-,TROPICAL DEPRESSION
5.50,133.30,05/11/12Z,15,-,TROPICAL DEPRESSION
5.60,132.70,05/11/18Z,15,-,TROPICAL DEPRESSION
5.80,131.90,05/12/00Z,20,-,TROPICAL DEPRESSION
6.00,131.00,05/12/06Z,20,-,TROPICAL DEPRESSION
6.00,129.90,05/12/12Z,20,-,TROPICAL DEPRESSION
6.00,128.70,05/12/18Z,20,-,TROPICAL DEPRESSION
6.00,127.40,05/13/00Z,20,-,TROPICAL DEPRESSION
6.00,126.00,05/13/06Z,20,-,TROPICAL DEPRESSION
6.00,124.50,05/13/12Z,20,-,TROPICAL DEPRESSION
6.20,122.80,05/13/18Z,20,-,TROPICAL DEPRESSION
6.80,121.40,05/14/00Z,20,-,TROPICAL DEPRESSION
7.80,120.00,05/14/06Z,20,-,TROPICAL DEPRESSION
8.20,119.30,05/14/12Z,20,-,TROPICAL DEPRESSION
8.40,118.50,05/14/18Z,20,-,TROPICAL DEPRESSION
8.60,117.60,05/15/00Z,20,-,TROPICAL DEPRESSION
9.20,116.90,05/15/06Z,25,-,TROPICAL DEPRESSION
9.90,116.20,05/15/12Z,30,-,TROPICAL DEPRESSION
10.60,115.30,05/15/18Z,35,-,TROPICAL STORM
11.50,114.20,05/16/00Z,45,-,TROPICAL STORM
12.40,113.60,05/16/06Z,50,-,TROPICAL STORM
13.10,113.10,05/16/12Z,55,-,TROPICAL STORM
13.90,112.90,05/16/18Z,60,-,TROPICAL STORM
14.90,112.70,05/17/00Z,65,-,TYPHOON-1
16.00,112.60,05/17/06Z,80,-,TYPHOON-1
17.10,112.70,05/17/12Z,90,-,TYPHOON-2
18.10,113.20,05/17/18Z,90,-,TYPHOON-2
19.10,114.20,05/18/00Z,90,-,TYPHOON-2
19.90,115.40,05/18/06Z,85,-,TYPHOON-2
20.90,116.90,05/18/12Z,75,-,TYPHOON-1
21.90,118.50,05/18/18Z,60,-,TROPICAL STORM
22.90,120.10,05/19/00Z,45,-,TROPICAL STORM
23.80,121.70,05/19/06Z,30,-,TROPICAL DEPRESSION
24.70,123.00,05/19/12Z,25,-,TROPICAL DEPRESSION
25.60,124.50,05/19/18Z,25,-,TROPICAL DEPRESSION
26.50,125.80,05/20/00Z,20,-,TROPICAL DEPRESSION
27.30,127.00,05/20/06Z,20,-,TROPICAL DEPRESSION
