LAT,LON,TIME,WIND,PR,STAT
23.70,148.60,08/06/18Z,15,-,TROPICAL DEPRESSION
24.10,147.80,08/07/00Z,15,-,TROPICAL DEPRESSION
24.50,147.00,08/07/06Z,20,-,TROPICAL DEPRESSION
25.20,145.70,08/07/12Z,20,-,TROPICAL DEPRESSION
26.20,144.60,08/07/18Z,20,-,TROPICAL DEPRESSION
28.10,144.00,08/08/00Z,25,-,TROPICAL DEPRESSION
29.30,143.60,08/08/06Z,25,-,TROPICAL DEPRESSION
30.70,143.10,08/08/12Z,25,-,TROPICAL DEPRESSION
31.40,143.40,08/08/18Z,30,-,TROPICAL DEPRESSION
32.40,144.00,08/09/00Z,30,-,TROPICAL DEPRESSION
33.30,144.60,08/09/06Z,30,-,TROPICAL DEPRESSION
34.30,145.50,08/09/12Z,30,-,TROPICAL DEPRESSION
35.30,147.20,08/09/18Z,30,-,TROPICAL DEPRESSION
35.60,149.30,08/10/00Z,30,-,TROPICAL DEPRESSION
36.10,151.20,08/10/06Z,25,-,TROPICAL DEPRESSION
36.70,153.90,08/10/12Z,25,-,TROPICAL DEPRESSION
