LAT,LON,TIME,WIND,PR,STAT
14.70,145.70,10/16/00Z,30,-,TROPICAL DEPRESSION
15.00,145.10,10/16/06Z,30,-,TROPICAL DEPRESSION
15.70,144.90,10/16/12Z,35,-,TROPICAL STORM
16.20,144.80,10/16/18Z,40,-,TROPICAL STORM
16.60,144.70,10/17/00Z,45,-,TROPICAL STORM
17.20,144.80,10/17/06Z,60,-,TROPICAL STORM
17.80,145.00,10/17/12Z,70,-,TYPHOON-1
18.30,145.20,10/17/18Z,80,-,TYPHOON-1
18.80,145.50,10/18/00Z,90,-,TYPHOON-2
19.40,145.70,10/18/06Z,110,-,TYPHOON-3
19.90,146.00,10/18/12Z,105,-,TYPHOON-3
20.60,146.30,10/18/18Z,100,-,TYPHOON-3
21.20,146.60,10/19/00Z,100,-,TYPHOON-3
21.90,146.90,10/19/06Z,105,-,TYPHOON-3
22.60,147.30,10/19/12Z,105,-,TYPHOON-3
23.30,147.60,10/19/18Z,110,-,TYPHOON-3
24.10,148.00,10/20/00Z,110,-,TYPHOON-3
25.00,148.50,10/20/06Z,115,-,TYPHOON-4
25.50,149.40,10/20/12Z,110,-,TYPHOON-3
26.20,150.20,10/20/18Z,110,-,TYPHOON-3
27.10,151.20,10/21/00Z,110,-,TYPHOON-3
28.10,152.40,10/21/06Z,110,-,TYPHOON-3
28.90,153.60,10/21/12Z,100,-,TYPHOON-3
29.70,154.80,10/21/18Z,85,-,TYPHOON-2
30.70,155.90,10/22/00Z,65,-,TYPHOON-1
31.80,157.00,10/22/06Z,55,-,TROPICAL STORM
31.80,157.00,10/22/12Z,55,-,TROPICAL STORM
33.50,157.20,10/22/18Z,45,-,TROPICAL STORM
36.00,160.50,10/23/00Z,40,-,TROPICAL STORM
36.50,161.80,10/23/06Z,35,-,TROPICAL STORM
37.00,163.00,10/23/12Z,30,-,TROPICAL DEPRESSION
