LAT,LON,TIME,WIND,PR,STAT
17.00,139.40,08/08/12Z,20,1007,TROPICAL DEPRESSION
17.70,138.70,08/08/18Z,20,1006,TROPICAL DEPRESSION
18.60,138.30,08/09/00Z,20,1006,TROPICAL DEPRESSION
19.70,138.00,08/09/06Z,20,1007,TROPICAL DEPRESSION
21.00,137.60,08/09/12Z,20,1006,TROPICAL DEPRESSION
22.40,137.20,08/09/18Z,25,1004,TROPICAL DEPRESSION
23.60,136.80,08/10/00Z,25,1004,TROPICAL DEPRESSION
24.70,136.60,08/10/06Z,30,1000,TROPICAL DEPRESSION
25.50,136.20,08/10/12Z,30,1000,TROPICAL DEPRESSION
26.30,136.10,08/10/18Z,30,1000,TROPICAL DEPRESSION
26.80,136.60,08/11/00Z,30,1000,TROPICAL DEPRESSION
27.30,137.20,08/11/06Z,30,1000,TROPICAL DEPRESSION
28.00,137.70,08/11/12Z,30,1000,TROPICAL DEPRESSION
28.60,138.30,08/11/18Z,25,1004,TROPICAL DEPRESSION
28.80,139.20,08/12/00Z,25,1004,TROPICAL DEPRESSION
29.30,140.00,08/12/06Z,25,1004,TROPICAL DEPRESSION
30.10,140.80,08/12/12Z,20,1005,TROPICAL DEPRESSION
30.80,141.60,08/12/18Z,20,1007,TROPICAL DEPRESSION
31.50,142.10,08/13/00Z,25,1004,TROPICAL DEPRESSION
32.10,142.70,08/13/06Z,25,1004,TROPICAL DEPRESSION
32.70,143.30,08/13/12Z,20,1007,TROPICAL DEPRESSION
33.20,143.90,08/13/18Z,20,1007,TROPICAL DEPRESSION
33.40,144.70,08/14/00Z,20,1007,TROPICAL DEPRESSION
34.10,145.40,08/14/06Z,20,1011,TROPICAL DEPRESSION
35.00,146.40,08/14/12Z,20,1007,TROPICAL DEPRESSION
36.10,147.40,08/14/18Z,15,1010,TROPICAL DEPRESSION
37.10,148.70,08/15/00Z,15,1010,TROPICAL DEPRESSION
