LAT,LON,TIME,WIND,PR,STAT
4.70,158.80,12/18/18Z,15,-,TROPICAL DEPRESSION
4.70,157.90,12/19/00Z,15,-,TROPICAL DEPRESSION
4.80,157.00,12/19/06Z,15,-,TROPICAL DEPRESSION
4.90,156.10,12/19/12Z,15,-,TROPICAL DEPRESSION
5.20,155.30,12/19/18Z,15,-,TROPICAL DEPRESSION
5.50,154.60,12/20/00Z,15,-,TROPICAL DEPRESSION
5.90,153.50,12/20/06Z,20,-,TROPICAL DEPRESSION
6.50,152.20,12/20/12Z,25,-,TROPICAL DEPRESSION
6.90,150.60,12/20/18Z,25,-,TROPICAL DEPRESSION
7.00,149.30,12/21/00Z,30,-,TROPICAL DEPRESSION
7.10,148.10,12/21/06Z,30,-,TROPICAL DEPRESSION
7.20,147.20,12/21/12Z,30,-,TROPICAL DEPRESSION
7.30,146.50,12/21/18Z,30,-,TROPICAL DEPRESSION
7.50,145.80,12/22/00Z,30,-,TROPICAL DEPRESSION
7.70,145.10,12/22/06Z,30,-,TROPICAL DEPRESSION
7.80,144.30,12/22/12Z,25,-,TROPICAL DEPRESSION
7.70,143.40,12/22/18Z,25,-,TROPICAL DEPRESSION
7.50,142.30,12/23/00Z,25,-,TROPICAL DEPRESSION
7.30,141.20,12/23/06Z,30,-,TROPICAL DEPRESSION
7.30,140.00,12/23/12Z,30,-,TROPICAL DEPRESSION
7.50,139.00,12/23/18Z,35,-,TROPICAL STORM
7.70,137.70,12/24/00Z,35,-,TROPICAL STORM
8.10,137.00,12/24/06Z,40,-,TROPICAL STORM
8.30,135.30,12/24/12Z,45,-,TROPICAL STORM
8.60,134.20,12/24/18Z,45,-,TROPICAL STORM
8.50,132.70,12/25/00Z,50,-,TROPICAL STORM
8.50,131.30,12/25/06Z,60,-,TROPICAL STORM
8.60,129.80,12/25/12Z,65,-,TYPHOON-1
8.80,128.30,12/25/18Z,65,-,TYPHOON-1
9.20,126.80,12/26/00Z,70,-,TYPHOON-1
9.70,125.50,12/26/06Z,65,-,TYPHOON-1
10.30,124.30,12/26/12Z,65,-,TYPHOON-1
10.90,123.10,12/26/18Z,65,-,TYPHOON-1
11.60,122.10,12/27/00Z,65,-,TYPHOON-1
12.00,121.10,12/27/06Z,60,-,TROPICAL STORM
12.10,120.00,12/27/12Z,55,-,TROPICAL STORM
11.90,119.00,12/27/18Z,50,-,TROPICAL STORM
11.50,118.10,12/28/00Z,40,-,TROPICAL STORM
11.00,117.10,12/28/06Z,30,-,TROPICAL DEPRESSION
10.50,116.70,12/28/12Z,25,-,TROPICAL DEPRESSION
9.90,116.40,12/28/18Z,20,-,TROPICAL DEPRESSION
9.50,116.10,12/29/00Z,20,-,TROPICAL DEPRESSION
9.10,115.60,12/29/06Z,20,-,TROPICAL DEPRESSION
8.80,114.80,12/29/12Z,20,-,TROPICAL DEPRESSION
8.70,113.80,12/29/18Z,20,-,TROPICAL DEPRESSION
8.80,113.70,12/30/00Z,20,-,TROPICAL DEPRESSION
8.90,113.50,12/30/06Z,20,-,TROPICAL DEPRESSION
