LAT,LON,TIME,WIND,PR,STAT
12.00,133.00,10/09/06Z,15,-,TROPICAL DEPRESSION
12.80,131.70,10/09/12Z,15,-,TROPICAL DEPRESSION
13.50,130.60,10/09/18Z,20,-,TROPICAL DEPRESSION
13.90,129.60,10/10/00Z,20,-,TROPICAL DEPRESSION
14.20,128.60,10/10/06Z,20,-,TROPICAL DEPRESSION
14.50,127.60,10/10/12Z,25,-,TROPICAL DEPRESSION
14.80,126.60,10/10/18Z,25,-,TROPICAL DEPRESSION
15.00,125.60,10/11/00Z,25,-,TROPICAL DEPRESSION
15.20,124.60,10/11/06Z,25,-,TROPICAL DEPRESSION
15.40,123.70,10/11/12Z,25,-,TROPICAL DEPRESSION
15.80,122.70,10/11/18Z,25,-,TROPICAL DEPRESSION
16.30,121.70,10/12/00Z,25,-,TROPICAL DEPRESSION
17.10,120.60,10/12/06Z,35,-,TROPICAL STORM
17.70,119.50,10/12/12Z,50,-,TROPICAL STORM
18.20,118.60,10/12/18Z,50,-,TROPICAL STORM
18.80,117.60,10/13/00Z,45,-,TROPICAL STORM
19.40,116.70,10/13/06Z,45,-,TROPICAL STORM
19.60,116.00,10/13/12Z,40,-,TROPICAL STORM
19.60,115.50,10/13/18Z,40,-,TROPICAL STORM
19.40,114.90,10/14/00Z,35,-,TROPICAL STORM
19.10,114.30,10/14/06Z,35,-,TROPICAL STORM
18.60,113.70,10/14/12Z,35,-,TROPICAL STORM
18.00,113.20,10/14/18Z,30,-,TROPICAL DEPRESSION
17.20,112.80,10/15/00Z,30,-,TROPICAL DEPRESSION
16.30,112.40,10/15/06Z,30,-,TROPICAL DEPRESSION
15.50,111.90,10/15/12Z,30,-,TROPICAL DEPRESSION
14.70,111.40,10/15/18Z,30,-,TROPICAL DEPRESSION
14.00,111.10,10/16/00Z,30,-,TROPICAL DEPRESSION
13.70,110.90,10/16/06Z,30,-,TROPICAL DEPRESSION
13.60,110.70,10/16/12Z,30,-,TROPICAL DEPRESSION
13.60,110.50,10/16/18Z,30,-,TROPICAL DEPRESSION
13.70,110.30,10/17/00Z,25,-,TROPICAL DEPRESSION
13.80,110.10,10/17/06Z,25,-,TROPICAL DEPRESSION
13.90,109.90,10/17/12Z,20,-,TROPICAL DEPRESSION
