LAT,LON,TIME,WIND,PR,STAT
3.30,154.10,05/02/00Z,40,-,TROPICAL STORM
3.80,154.70,05/02/06Z,40,-,TROPICAL STORM
4.50,155.20,05/02/12Z,40,-,TROPICAL STORM
5.20,155.50,05/02/18Z,40,-,TROPICAL STORM
5.50,155.60,05/03/00Z,80,-,TYPHOON-1
5.70,155.70,05/03/06Z,80,-,TYPHOON-1
6.00,155.80,05/03/12Z,80,-,TYPHOON-1
6.30,155.80,05/03/18Z,80,-,TYPHOON-1
6.70,155.80,05/04/00Z,90,-,TYPHOON-2
7.20,155.70,05/04/06Z,90,-,TYPHOON-2
7.80,155.80,05/04/12Z,90,-,TYPHOON-2
8.40,155.80,05/04/18Z,90,-,TYPHOON-2
9.20,155.80,05/05/00Z,120,-,TYPHOON-4
10.00,155.60,05/05/06Z,120,-,TYPHOON-4
10.80,155.10,05/05/12Z,120,-,TYPHOON-4
11.30,154.30,05/05/18Z,120,-,TYPHOON-4
11.90,153.70,05/06/00Z,120,-,TYPHOON-4
12.70,152.50,05/06/06Z,120,-,TYPHOON-4
13.40,151.50,05/06/12Z,120,-,TYPHOON-4
14.00,150.60,05/06/18Z,120,-,TYPHOON-4
14.60,149.90,05/07/00Z,120,-,TYPHOON-4
15.30,148.50,05/07/06Z,120,-,TYPHOON-4
16.20,147.60,05/07/12Z,120,-,TYPHOON-4
16.80,146.60,05/07/18Z,120,-,TYPHOON-4
17.70,146.00,05/08/00Z,120,-,TYPHOON-4
18.50,145.10,05/08/06Z,120,-,TYPHOON-4
19.50,144.50,05/08/12Z,120,-,TYPHOON-4
20.20,144.20,05/08/18Z,120,-,TYPHOON-4
20.80,144.20,05/09/00Z,110,-,TYPHOON-3
21.40,144.20,05/09/06Z,110,-,TYPHOON-3
21.80,144.80,05/09/12Z,110,-,TYPHOON-3
22.10,145.50,05/09/18Z,110,-,TYPHOON-3
22.20,146.40,05/10/00Z,90,-,TYPHOON-2
22.30,147.00,05/10/06Z,90,-,TYPHOON-2
22.30,147.80,05/10/12Z,90,-,TYPHOON-2
22.30,148.60,05/10/18Z,90,-,TYPHOON-2
22.30,149.70,05/11/00Z,85,-,TYPHOON-2
22.10,150.70,05/11/06Z,85,-,TYPHOON-2
22.00,151.50,05/11/12Z,85,-,TYPHOON-2
21.90,152.10,05/11/18Z,85,-,TYPHOON-2
21.80,152.90,05/12/00Z,90,-,TYPHOON-2
22.00,154.20,05/12/06Z,90,-,TYPHOON-2
22.40,155.30,05/12/12Z,90,-,TYPHOON-2
23.00,156.40,05/12/18Z,90,-,TYPHOON-2
23.40,157.20,05/13/00Z,80,-,TYPHOON-1
23.70,157.80,05/13/06Z,80,-,TYPHOON-1
24.10,158.50,05/13/12Z,80,-,TYPHOON-1
24.60,159.10,05/13/18Z,80,-,TYPHOON-1
25.10,160.10,05/14/00Z,75,-,TYPHOON-1
26.00,161.80,05/14/06Z,75,-,TYPHOON-1
26.80,163.10,05/14/12Z,75,-,TYPHOON-1
27.70,164.80,05/14/18Z,75,-,TYPHOON-1
28.50,166.30,05/15/00Z,65,-,TYPHOON-1
30.00,168.90,05/15/06Z,65,-,TYPHOON-1
31.70,171.30,05/15/12Z,65,-,TYPHOON-1
34.30,175.00,05/15/18Z,65,-,TYPHOON-1
37.00,178.80,05/16/00Z,40,-,TROPICAL STORM
38.00,179.40,05/16/06Z,40,-,TROPICAL STORM
39.50,179.70,05/16/12Z,35,-,TROPICAL STORM
41.00,-180.00,05/16/18Z,30,-,TROPICAL DEPRESSION
42.00,-178.00,05/17/00Z,30,-,TROPICAL DEPRESSION
