LAT,LON,TIME,WIND,PR,STAT
16.90,112.40,08/13/12Z,15,-,TROPICAL DEPRESSION
17.10,113.20,08/13/18Z,15,-,TROPICAL DEPRESSION
17.40,114.00,08/14/00Z,15,-,TROPICAL DEPRESSION
17.70,114.90,08/14/06Z,15,-,TROPICAL DEPRESSION
18.00,115.80,08/14/12Z,15,-,TROPICAL DEPRESSION
18.40,116.60,08/14/18Z,20,-,TROPICAL DEPRESSION
18.80,117.20,08/15/00Z,20,-,TROPICAL DEPRESSION
19.30,117.50,08/15/06Z,20,-,TROPICAL DEPRESSION
19.70,117.50,08/15/12Z,25,-,TROPICAL DEPRESSION
20.20,117.40,08/15/18Z,25,-,TROPICAL DEPRESSION
20.60,117.20,08/16/00Z,30,-,TROPICAL DEPRESSION
20.80,116.90,08/16/06Z,35,-,TROPICAL STORM
21.10,116.90,08/16/12Z,40,-,TROPICAL STORM
21.40,117.20,08/16/18Z,40,-,TROPICAL STORM
21.60,117.50,08/17/00Z,45,-,TROPICAL STORM
21.90,117.60,08/17/06Z,50,-,TROPICAL STORM
22.10,117.80,08/17/12Z,50,-,TROPICAL STORM
22.40,117.90,08/17/18Z,50,-,TROPICAL STORM
22.70,117.90,08/18/00Z,50,-,TROPICAL STORM
23.10,117.90,08/18/06Z,45,-,TROPICAL STORM
23.40,117.80,08/18/12Z,45,-,TROPICAL STORM
23.70,117.60,08/18/18Z,40,-,TROPICAL STORM
23.80,117.20,08/19/00Z,35,-,TROPICAL STORM
23.80,116.70,08/19/06Z,35,-,TROPICAL STORM
23.60,116.30,08/19/12Z,30,-,TROPICAL DEPRESSION
23.20,116.10,08/19/18Z,30,-,TROPICAL DEPRESSION
22.90,115.90,08/20/00Z,25,-,TROPICAL DEPRESSION
22.60,115.80,08/20/06Z,25,-,TROPICAL DEPRESSION
22.30,115.60,08/20/12Z,25,-,TROPICAL DEPRESSION
22.10,115.30,08/20/18Z,25,-,TROPICAL DEPRESSION
21.90,114.90,08/21/00Z,20,-,TROPICAL DEPRESSION
21.60,114.30,08/21/06Z,20,-,TROPICAL DEPRESSION
21.50,113.50,08/21/12Z,20,-,TROPICAL DEPRESSION
21.80,112.70,08/21/18Z,20,-,TROPICAL DEPRESSION
22.40,112.20,08/22/00Z,15,-,TROPICAL DEPRESSION
