LAT,LON,TIME,WIND,PR,STAT
18.30,163.40,09/05/06Z,20,-,TROPICAL DEPRESSION
18.10,162.90,09/05/12Z,20,-,TROPICAL DEPRESSION
17.80,162.50,09/05/18Z,20,-,TROPICAL DEPRESSION
17.50,162.10,09/06/00Z,20,-,TROPICAL DEPRESSION
17.30,161.70,09/06/06Z,20,-,TROPICAL DEPRESSION
17.10,161.30,09/06/12Z,20,-,TROPICAL DEPRESSION
16.90,160.90,09/06/18Z,20,-,TROPICAL DEPRESSION
16.80,160.50,09/07/00Z,20,-,TROPICAL DEPRESSION
16.80,159.90,09/07/06Z,25,-,TROPICAL DEPRESSION
16.90,159.30,09/07/12Z,25,-,TROPICAL DEPRESSION
17.10,158.70,09/07/18Z,25,-,TROPICAL DEPRESSION
17.50,157.90,09/08/00Z,30,-,TROPICAL DEPRESSION
18.00,156.90,09/08/06Z,30,-,TROPICAL DEPRESSION
18.40,155.80,09/08/12Z,35,-,TROPICAL STORM
18.90,154.50,09/08/18Z,40,-,TROPICAL STORM
19.60,153.10,09/09/00Z,45,-,TROPICAL STORM
20.30,152.00,09/09/06Z,45,-,TROPICAL STORM
20.80,151.00,09/09/12Z,45,-,TROPICAL STORM
21.00,150.20,09/09/18Z,45,-,TROPICAL STORM
21.10,149.20,09/10/00Z,50,-,TROPICAL STORM
21.20,148.40,09/10/06Z,55,-,TROPICAL STORM
21.10,147.70,09/10/12Z,60,-,TROPICAL STORM
20.90,147.00,09/10/18Z,70,-,TYPHOON-1
20.50,146.50,09/11/00Z,80,-,TYPHOON-1
20.10,146.20,09/11/06Z,95,-,TYPHOON-2
19.70,145.80,09/11/12Z,105,-,TYPHOON-3
20.00,145.40,09/11/18Z,105,-,TYPHOON-3
20.40,145.60,09/12/00Z,105,-,TYPHOON-3
21.00,145.50,09/12/06Z,105,-,TYPHOON-3
21.50,145.40,09/12/12Z,105,-,TYPHOON-3
22.30,145.10,09/12/18Z,105,-,TYPHOON-3
23.10,144.70,09/13/00Z,105,-,TYPHOON-3
23.90,144.30,09/13/06Z,105,-,TYPHOON-3
25.00,143.90,09/13/12Z,105,-,TYPHOON-3
26.00,143.70,09/13/18Z,100,-,TYPHOON-3
27.10,143.40,09/14/00Z,100,-,TYPHOON-3
28.20,143.20,09/14/06Z,90,-,TYPHOON-2
29.30,142.90,09/14/12Z,85,-,TYPHOON-2
30.30,142.30,09/14/18Z,80,-,TYPHOON-1
31.30,142.00,09/15/00Z,80,-,TYPHOON-1
32.20,142.30,09/15/06Z,75,-,TYPHOON-1
33.20,142.90,09/15/12Z,70,-,TYPHOON-1
34.40,143.60,09/15/18Z,65,-,TYPHOON-1
35.70,144.80,09/16/00Z,65,-,TYPHOON-1
37.00,146.60,09/16/06Z,60,-,TROPICAL STORM
38.40,149.10,09/16/12Z,55,-,TROPICAL STORM
39.70,152.40,09/16/18Z,50,-,TROPICAL STORM
40.40,156.30,09/17/00Z,45,-,TROPICAL STORM
