LAT,LON,TIME,WIND,PR,STAT
18.70,118.00,09/11/18Z,40,-,TROPICAL STORM
18.50,118.30,09/12/00Z,45,-,TROPICAL STORM
17.90,118.30,09/12/06Z,55,-,TROPICAL STORM
17.40,118.10,09/12/12Z,55,-,TROPICAL STORM
17.70,118.00,09/12/18Z,60,-,TROPICAL STORM
18.10,117.80,09/13/00Z,65,-,TYPHOON-1
18.40,117.60,09/13/06Z,70,-,TYPHOON-1
18.70,117.40,09/13/12Z,80,-,TYPHOON-1
19.20,117.40,09/13/18Z,85,-,TYPHOON-2
19.60,117.40,09/14/00Z,85,-,TYPHOON-2
20.20,117.50,09/14/06Z,90,-,TYPHOON-2
20.60,117.60,09/14/12Z,90,-,TYPHOON-2
21.00,117.70,09/14/18Z,100,-,TYPHOON-3
21.30,117.80,09/15/00Z,115,-,TYPHOON-4
21.60,118.20,09/15/06Z,115,-,TYPHOON-4
21.90,118.80,09/15/12Z,115,-,TYPHOON-4
22.10,119.60,09/15/18Z,115,-,TYPHOON-4
22.30,120.60,09/16/00Z,115,-,TYPHOON-4
22.70,121.80,09/16/06Z,80,-,TYPHOON-1
23.40,122.90,09/16/12Z,70,-,TYPHOON-1
24.30,123.70,09/16/18Z,65,-,TYPHOON-1
25.30,124.40,09/17/00Z,60,-,TROPICAL STORM
26.30,125.40,09/17/06Z,60,-,TROPICAL STORM
27.00,126.70,09/17/12Z,50,-,TROPICAL STORM
27.90,127.90,09/17/18Z,40,-,TROPICAL STORM
29.00,128.90,09/18/00Z,35,-,TROPICAL STORM
